,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels
30,2021-05-04,3030.105322464869,3057.014920056203,3002.6020331296368,3017.194580078125,1990777,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3002.6020331296368,346.61000304261324,3057.014920056203
31,2021-05-05,3037.228442742094,3066.31450776238,3019.8162221568823,3062.654052734375,1939289,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3019.8162221568823,346.61000304261324,3066.31450776238
32,2021-05-06,3072.349646894711,3100.545417281605,3041.1859006776176,3078.236083984375,1791671,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3041.1859006776176,346.61000304261324,3100.545417281605
33,2021-05-07,3099.5558162420343,3126.1192941728023,3078.5821705481844,3099.456787109375,1912540,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3078.5821705481844,346.61000304261324,3126.1192941728023
34,2021-05-10,3112.367511306729,3130.422695897377,3091.6411970287418,3111.92236328125,2137153,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3130.422695897377,346.61000304261324,3091.6411970287418
35,2021-05-11,3091.641373805039,3094.7083786616467,3058.15261783019,3089.26708984375,2415625,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3094.7083786616467,346.61000304261324,3058.15261783019
36,2021-05-12,3086.694665295043,3086.694665295043,3037.822096374995,3054.640625,1978558,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3086.694665295043,346.61000304261324,3037.822096374995
37,2021-05-14,3065.4243125259222,3065.4243125259222,3007.54878492135,3018.926025390625,2043935,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3065.4243125259222,346.61000304261324,3007.54878492135
38,2021-05-17,3022.388653662376,3042.372975504081,3003.591473819631,3036.981201171875,2890462,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3042.372975504081,346.61000304261324,3003.591473819631
39,2021-05-18,3066.908275353756,3090.652081356495,3045.143119851245,3055.827880859375,2098538,0.0,0,3130.422695897377,3003.591473819631,1,3318.5430800537465,2971.9330770111333,2971.9330770111333,3104.3380981734117,3145.23807853244,3186.138058891468,3244.3685394026274,3318.5430800537465,3412.127780875252,3532.7480619340813,3879.3580649766945,3090.652081356495,346.61000304261324,3045.143119851245
